,group,name,member_attendance,member_repayment,business_type
877,09-876,Jasmine Sandoval,0.823,1747.2,Manufacturing engineer
878,85-550,Jennifer Lam,0.918,1774.32,Midwife
879,90-528,Elizabeth Rodriguez,0.961,2304.72,"Administrator, local government"
880,75-170,Veronica Woods,0.828,10.56,Clinical psychologist
881,12-546,Monique Ruiz,0.859,264.96,Regulatory affairs officer
882,19-845,Dana Scott,0.957,502.08,Air traffic controller
883,58-896,Brittney Ware,0.937,819.36,Statistician
884,67-357,Rachel Olson,0.883,1036.08,Acupuncturist
885,64-172,Marilyn Houston,0.995,1916.88,Fashion designer
886,07-414,Connie Webb,0.965,660.0,Data scientist
887,23-694,Laurie Winters,0.952,870.96,Electronics engineer
888,66-695,Carol Smith,0.846,2002.8,Toxicologist
889,24-034,Kristin Wang,0.852,0.24,Financial risk analyst
890,47-389,Ashley Harrison,0.913,587.76,"Chemist, analytical"
891,66-833,Jean Wallace,0.887,1324.08,Conference centre manager
892,62-099,Jane Brown,0.947,2178.24,"Scientist, clinical (histocompatibility and immunogenetics)"
893,29-942,Laurie Hayes,0.833,829.68,Air broker
894,84-223,Amanda Cummings,0.901,917.52,Manufacturing systems engineer
895,20-388,Angela Freeman,0.898,1378.32,Emergency planning/management officer
896,61-387,Stephanie Matthews,0.983,917.28,Television production assistant
897,98-730,Caitlin Johnson,0.912,1472.16,Environmental manager
898,31-096,Amanda Carter,0.81,203.04,Medical physicist
899,32-445,Kristin Edwards,0.983,708.0,"Journalist, newspaper"
900,42-409,Sylvia Russo,0.847,1282.56,Medical physicist
901,53-309,Cynthia Smith,0.825,350.88,Neurosurgeon
902,39-166,Lori Perez,0.977,1014.24,Pensions consultant
903,37-889,Kimberly Singh,0.964,524.88,Speech and language therapist
904,62-099,Susan Ramirez,0.968,2125.2,"Administrator, education"
905,58-240,Matthew Mendez,0.839,1069.92,Commercial horticulturist
906,61-180,Suzanne Richardson,0.842,1974.48,"Editor, commissioning"
907,42-415,Dwayne Jones,0.978,1865.52,Counsellor
908,24-581,Steven Johnson,0.882,1961.28,"Sound technician, broadcasting/film/video"
909,48-121,Edward Harper,0.847,1801.44,Naval architect
910,57-493,Julie Allen,0.989,1631.52,Software engineer
911,05-955,Geoffrey Pierce,0.886,1200.48,Dispensing optician
912,90-927,Pamela Gardner,0.802,712.32,Charity fundraiser
913,47-469,Victoria Morgan,0.946,2158.8,Dancer
914,59-370,Angela Gonzalez,0.81,2257.92,"Accountant, chartered certified"
915,53-145,Jeffrey Henderson,0.974,268.8,Air broker
916,62-560,Sarah Mitchell,0.863,743.28,"Pilot, airline"
917,06-837,Tammy Abbott,0.947,2178.72,Acupuncturist
918,83-440,Paula Diaz,0.881,804.24,Paramedic
919,20-169,Todd Hill,0.817,932.88,Applications developer
920,57-493,Katherine White,0.999,58.8,Licensed conveyancer
921,75-174,Robin Campbell,0.978,1614.72,Architectural technologist
922,59-400,Brittany Mills,0.892,2091.36,Television/film/video producer
923,45-243,Sheryl Howard,0.971,1240.56,Secondary school teacher
924,75-174,Monique Gonzales,0.835,505.92,Environmental health practitioner
925,81-117,Jeffrey Richardson,0.821,993.84,Naval architect
926,91-588,Susan Shah,0.994,2172.24,"Scientist, water quality"
927,15-624,Nicholas Ibarra,0.942,412.08,Race relations officer
928,62-099,Alyssa Dixon,0.801,1657.92,Manufacturing engineer
929,53-309,Gabriella Mccarty,0.904,1087.68,Financial controller
930,43-123,Paula Holmes,0.81,641.52,Geochemist
931,83-440,Crystal Brown,0.936,1899.6,Cytogeneticist
932,74-635,Nicholas Lopez,0.884,2226.72,"Buyer, industrial"
933,31-914,Lisa Baldwin,0.96,1973.04,Immigration officer
934,15-624,Margaret Sherman,0.988,1217.52,"Engineer, drilling"
935,86-493,Nathaniel Caldwell,0.824,424.8,Tree surgeon
936,47-389,Terrence Simpson,0.802,1543.68,Building surveyor
937,39-499,Jeffrey Butler,0.913,1755.36,Museum/gallery conservator
938,61-405,Darryl Gibson,0.914,1287.12,Actuary
939,96-227,Amy Smith,0.894,764.16,"Engineer, building services"
940,75-174,Thomas Shaffer,0.96,88.32,"Engineer, agricultural"
941,22-136,Timothy Sanchez,0.957,1477.44,"Programme researcher, broadcasting/film/video"
942,69-609,Taylor Kelly,0.886,2016.24,Interior and spatial designer
943,96-227,Melissa Camacho,0.909,577.2,Politician's assistant
944,05-313,Anne Perez,0.9,1227.6,"Solicitor, Scotland"
945,40-453,Timothy Green,0.97,74.88,"Programmer, applications"
946,04-248,Stephen Mathews,0.958,25.92,Exhibition designer
947,34-169,Deanna Sullivan,0.804,323.76,Ophthalmologist
948,53-309,Melanie Prince,0.859,1460.4,Geophysicist/field seismologist
949,15-106,Brandon Garcia,0.854,1776.0,Dentist
950,11-185,Beth Jordan,0.98,1725.12,Art gallery manager
951,80-167,Dana Smith,0.947,1300.8,"Development worker, community"
952,39-585,Tiffany Boyd,0.877,1833.12,"Designer, textile"
953,40-727,Sue Taylor,0.969,873.6,"Scientist, marine"
954,08-592,Jacob Watson,0.999,1174.56,Architectural technologist
955,44-876,Lisa Smith,0.98,1204.56,Social worker
956,30-352,Stephanie Hayes,0.923,1136.16,Operational researcher
957,80-426,Todd Howard,0.884,1637.52,Advertising art director
958,14-734,Cheryl Calhoun,0.927,2318.88,"Psychologist, forensic"
959,16-656,Lisa Marks,0.879,4.8,Research scientist (medical)
960,59-467,Michelle Carter,0.919,2127.6,Radio broadcast assistant
961,57-731,Laura Johnston,0.842,2242.8,"Chemist, analytical"
962,57-857,Melissa Martinez,0.857,2183.04,"Teacher, primary school"
963,08-592,Nicole Roth,0.874,295.92,Radio producer
964,82-819,Rebecca Becker,0.839,760.08,Television production assistant
965,94-842,David Morgan,0.93,427.92,Barista
966,84-070,Tonya Mitchell,0.809,1019.52,Catering manager
967,31-096,Kimberly Payne,0.998,534.0,Technical brewer
968,70-869,Kristin Lynch,0.82,692.88,Civil Service administrator
969,57-493,Matthew Mcpherson,0.806,16.32,Regulatory affairs officer
970,79-599,Linda Thomas,0.817,1707.84,"Horticulturist, commercial"
971,96-068,Brandi Mullins,0.834,1696.56,"Engineer, mining"
972,74-520,Melanie Harris,0.919,608.88,Public librarian
973,50-038,Brian Brewer,0.916,412.56,Financial planner
974,09-876,Kelsey Buckley,0.941,2270.64,"Administrator, sports"
975,31-861,Kimberly Kerr,0.884,2053.2,Volunteer coordinator
976,50-436,Lisa Booth,0.939,828.96,"Nurse, learning disability"
977,56-440,Sandra Brown,0.834,844.08,Hydrogeologist
978,58-451,Melissa Hicks,0.967,150.96,Risk analyst
979,62-983,Shannon Reid,0.845,166.56,Immunologist
980,11-893,Hannah Cervantes,0.985,1533.36,Psychiatric nurse
981,81-117,Sherry Decker,0.832,583.68,"Programmer, multimedia"
982,14-734,April Bryan,0.802,444.48,Commercial art gallery manager
983,69-199,Aaron Cooper,0.95,876.72,Biomedical engineer
984,84-495,Jacob Thompson,0.987,2151.84,Risk analyst
985,61-180,Teresa Bishop,0.863,288.48,"Scientist, research (maths)"
986,59-467,Joseph Rhodes,0.932,2134.08,Farm manager
987,90-927,Cindy Andrews,0.899,264.0,"Engineer, land"
988,03-052,Jeremy Wang,0.894,870.72,Commercial horticulturist
989,47-469,Sandra Winters,0.978,1428.0,"Programmer, systems"
990,21-884,Catherine Barnes,0.904,2294.16,Clinical psychologist
991,67-357,Katelyn Haynes,0.801,729.84,Freight forwarder
992,15-876,Erica Clark,0.808,1108.56,"Research officer, political party"
993,84-223,Elizabeth Morris,0.997,960.72,Radiation protection practitioner
994,84-070,Kimberly Turner,0.85,927.12,Special effects artist
995,80-426,Joseph Knight,0.904,166.56,Chiropractor
996,47-598,Susan Chandler,0.838,2266.32,Archivist
997,91-933,Shannon Evans,0.832,1567.92,Web designer
998,20-169,Tamara Delgado,0.906,415.92,"Therapist, nutritional"
999,57-731,Amber Pierce,0.825,1739.52,Further education lecturer
